# word	clue	clue_type	freq
# Derived from dwyl/english-words (Unlicense) and Webster's
# 1913 via matthewreagan/WebstersEnglishDictionary (public
# domain). Regenerate with scripts/build_bank.py.
FLIP	A mixture of beer, spirit, etc., stirred and heated by a hot iron	definition	1
FLOE	A low, flat mass of floating ice	definition	4
FLOG	To beat or strike with a rod or whip	definition	15
FLUE	An inclosed passage way for establishing and directing a current of air, gases, etc	definition	24
FLUX	The act of flowing	definition	34
FOOL	A compound of gooseberries scalded and crushed, with cream	definition	114
FOUR	One more than three	definition	850
FOXY	Like or pertaining to the fox	definition	4
FRIZ	To curl or form into small curls, as hair, with a crisping pin	definition	8
FROG	An amphibious animal of the genus Rana and related genera, of many species	proper	51
FUEL	Any matter used to produce heat by burning	definition	79
FUMY	Producing fumes	definition	1
FURL	To draw up or gather into close compass	definition	4
FUSE	To liquefy by heat	definition	38
FUZE	A tube, filled with combustible matter, for exploding a shell, etc	definition	3
FYRD	The military force of the whole nation, consisting of all men able to bear arms	definition	2
GAEL	A Celt or the Celts of the Scotch Highlands or of Ireland	proper	5
GAFF	A barbed spear or a hook with a handle, used by fishermen in securing heavy fish	definition	31
GAGE	A pledge or pawn	definition	14
GALA	Pomp, show, or festivity	definition	4
GAMP	A large umbrella	definition	2
GAMY	Having the flavor of game, esp	definition	3
GAOL	A place of confinement, especially for minor offenses or provisional imprisonment	definition	3
GAPE	To open the mouth wide	definition	13
GARB	Clothing in general	definition	20
GASP	To open the mouth wide in catching the breath, or in laborious respiration	definition	3
GEAT	The channel or spout through which molten metal runs into a mold in casting	definition	3
GEDD	The European pike	proper	1
GEEZ	The original native name for the ancient Ethiopic language or people	proper	2
GEIC	Pertaining to, or derived from, earthy or vegetable mold	definition	2
GHEE	Butter clarified by boiling, and thus converted into a kind of oil	definition	1
GIBE	To cast reproaches and sneering expressions	definition	21
GIFT	Anything given	definition	125
GILT	A female pig, when young	definition	20
GIRD	A stroke with a rod or switch	definition	15
GLEN	A secluded and narrow valley	definition	13
GLUT	To swallow, or to swallow greedlly	definition	19
